release_month,count
2017-09-01,2576
2017-10-01,3195
2017-11-01,2884
2017-12-01,2440
2018-01-01,4217
2018-02-01,1966
2018-03-01,2578
2018-04-01,2350
2018-05-01,2513
2018-06-01,2697
2018-07-01,1999
2018-08-01,2355
2018-09-01,2713
2018-10-01,3505
2018-11-01,3093
2018-12-01,2604
2019-01-01,4153
2019-02-01,2086
2019-03-01,2920
2019-04-01,2593
2019-05-01,2854
2019-06-01,2962
2019-07-01,2317
2019-08-01,2568
2019-09-01,3111
2019-10-01,3921
2019-11-01,3568
2019-12-01,2975
2020-01-01,4157
2020-02-01,2254
2020-03-01,2586
2020-04-01,2093
2020-05-01,2376
2020-06-01,2379
2020-07-01,2062
2020-08-01,2637
2020-09-01,3531
2020-10-01,4667
2020-11-01,3621
2020-12-01,3594
2021-01-01,4142
2021-02-01,2090
2021-03-01,2761
2021-04-01,2767
2021-05-01,2667
2021-06-01,3050
2021-07-01,2652
2021-08-01,2940
2021-09-01,3915
2021-10-01,4513
2021-11-01,4012
2021-12-01,3754
2022-01-01,3026
2022-02-01,2327
2022-03-01,3010
2022-04-01,3118
2022-05-01,3119
2022-06-01,3528
2022-07-01,2966
2022-08-01,3206
2022-09-01,3976
2022-10-01,4861
2022-11-01,4272
2022-12-01,3778
2023-01-01,4106
2023-02-01,2553
2023-03-01,3768
2023-04-01,3701
2023-05-01,3717
2023-06-01,4306
2023-07-01,3128
2023-08-01,3338
2023-09-01,4516
2023-10-01,5244
2023-11-01,4912
2023-12-01,3960
2024-01-01,4146
2024-02-01,3137
2024-03-01,3908
2024-04-01,4223
2024-05-01,4691
2024-06-01,4421
2024-07-01,2956
2024-08-01,3618
2024-09-01,4319
2024-10-01,5927
2024-11-01,4753
2024-12-01,4165
2025-01-01,3306
2025-02-01,3059
2025-03-01,3880
2025-04-01,4060
2025-05-01,4325
2025-06-01,3906
2025-07-01,2807
2025-08-01,3124
2025-09-01,3535
2025-10-01,1531
2025-11-01,476
2025-12-01,348
